YYYY,MM,DD,n_orbita
2014,12,29,5
2014,12,31,6
2015,1,1,5
2015,1,1,5
2015,1,1,5
2015,1,2,5
2015,1,7,5
2015,1,8,6
2015,1,9,5
2015,1,10,5
2015,1,10,5
2015,1,10,5
2015,1,14,5
2015,1,16,6
2015,1,16,6
2015,1,18,5
2015,1,19,5
2015,1,21,5
2015,1,22,5
2015,1,22,5
2015,1,23,5
2015,1,25,6
2015,1,31,5
2015,2,1,5
2015,2,1,5
2015,2,1,5
2015,2,2,6
2015,2,2,6
2015,2,4,5
2015,2,6,5
2015,2,8,5
2015,2,8,5
2015,2,9,5
2015,2,10,5
2015,2,10,5
2015,2,11,6
2015,2,12,5
2015,2,13,5
2015,2,15,6
2015,2,15,6
2015,2,16,5
2015,2,16,5
2015,2,16,5
2015,2,17,5
2015,2,18,6
2015,2,20,5
2015,2,20,5
2015,2,20,5
2015,2,21,6
2015,2,22,5
2015,2,22,5
2015,2,23,5
2015,2,23,5
2015,2,24,6
2015,2,26,5
2015,2,27,5
2015,2,28,6
2015,3,1,5
2015,3,2,5
2015,3,2,5
2015,3,3,5
2015,3,4,5
2015,3,5,5
2015,3,5,5
2015,3,5,5
2015,3,6,6
2015,3,6,6
2015,3,7,5
2015,3,7,5
2015,3,8,5
2015,3,12,5
2018,7,1,5
2018,7,1,5
2018,7,1,5
2018,7,4,5
2018,7,4,5
2018,7,4,5
2018,7,5,6
2018,7,5,6
2018,7,9,5
2018,7,9,5
2018,7,9,5
2018,7,11,5
2018,7,11,5
2018,7,11,5
2018,7,11,5
2018,7,12,6
2018,7,12,6
2018,7,14,5
2018,7,15,6
2018,7,15,6
2018,7,16,5
2018,7,16,5
2018,7,16,5
2018,7,17,6
2018,7,17,6
2018,7,18,5
2018,7,20,6
2018,7,20,6
2018,7,20,6
2018,7,21,5
2018,7,23,5
2018,7,28,5
2018,7,28,5
2018,7,29,6
2018,7,30,5
2018,7,30,5
2018,7,31,5
2018,8,1,6
2018,8,5,5
2018,8,5,5
2018,8,6,6
2018,8,8,6
2018,8,10,5
2018,8,11,6
2018,8,11,6
2018,8,13,6
2018,8,14,5
2018,8,14,5
2018,8,14,5
2018,8,15,6
2018,8,18,6
2018,8,19,5
2018,8,20,6
2018,8,21,5
2018,8,23,5
2018,8,24,5
2018,8,26,5
2018,8,26,5
2018,8,27,6
2018,8,27,6
2018,8,28,5
2018,8,29,6
2018,8,30,5
2018,9,1,6
2018,9,3,6
2018,9,3,6
2018,9,4,5
2018,9,4,5
2018,9,5,6
2018,9,5,6
2018,9,5,6
2018,9,6,5
2018,9,10,6
2018,9,12,6
2018,9,14,5
2018,9,15,6
2018,9,16,5
2018,9,16,5
2018,9,19,6
2018,9,20,5
2018,9,20,5
2018,9,21,6
2018,9,22,5
2018,9,23,5
2018,9,23,5
2018,9,24,6
2018,9,28,6
2018,9,30,5
2018,9,30,5
2018,9,30,5
2018,10,1,6
2018,10,1,6
2018,10,4,5
2018,10,4,5
2018,10,6,5
2018,10,10,6
2018,10,10,6
2018,10,13,5
2018,10,15,5
2018,10,17,5
2018,10,17,5
2018,10,19,5
2018,10,20,5
2018,10,20,5
2018,10,23,6
2018,10,25,6
2018,10,25,6
2018,10,27,6
2018,10,27,6
2018,10,28,5
2018,10,30,5
2018,10,31,5
2018,11,3,6
2018,11,4,5
2018,11,5,6
2018,11,5,6
2018,11,6,5
2018,11,6,5
2018,11,6,5
2018,11,7,6
2018,11,8,5
2018,11,8,5
2018,11,11,6
2018,11,12,5
2018,11,14,5
2018,11,15,6
2018,11,16,5
2018,11,17,5
2018,11,18,6
2018,11,18,6
2018,11,20,6
2018,11,22,6
2018,11,23,5
2018,11,23,5
2018,11,26,6
2018,11,29,5
2018,11,29,5
2018,12,1,6
2018,12,3,6
2018,12,3,6
2018,12,5,6
2018,12,5,6
2018,12,6,5
2018,12,6,5
2018,12,9,6
2018,12,11,5
2018,12,13,5
2018,12,14,6
2018,12,14,6
2018,12,16,6
2018,12,17,5
2018,12,19,5
2018,12,19,5
2018,12,21,5
2018,12,24,5
2020,8,3,6
2020,8,4,7
2020,8,5,7
2020,8,5,7
2020,8,6,6
2020,8,6,6
2020,8,7,7
2020,8,10,7
2020,8,14,7
2020,8,14,7
2020,8,14,7
2020,8,14,7
2020,8,16,7
2020,8,17,7
2020,8,17,7
2020,8,17,7
2020,8,19,7
2020,8,22,7
2020,8,22,7
2020,8,23,7
2020,8,23,7
2020,8,25,6
2020,8,25,6
2020,8,27,7
2020,8,28,6
2020,8,29,7
2020,8,29,7
2020,8,30,7
2020,9,1,7
2020,9,3,6
2020,9,4,7
2020,9,5,7
2020,9,5,7
2020,9,6,6
2020,9,6,6
2020,9,7,7
2020,9,7,7
2020,9,8,7
2020,9,8,7
2020,9,9,6
2020,9,9,6
2020,9,10,7
2020,9,10,7
2020,9,12,6
2020,9,13,7
2020,9,14,6
2020,9,14,6
2020,9,15,7
2020,9,15,7
2020,9,16,7
2020,9,18,7
2020,9,18,7
2020,9,22,7
2020,9,22,7
2020,9,24,7
2020,9,24,7
2020,9,24,7
2020,9,27,7
2020,9,29,6
2020,10,1,6
2020,10,1,6
2020,10,1,6
2020,10,2,7
2020,10,7,6
2015,12,28,6
2016,1,24,5
2016,1,15,5
2015,12,30,5
2015,12,17,5
2015,12,20,5
2015,12,29,5
2015,12,16,6
2016,1,13,6
2015,12,25,6
2015,12,28,6
2015,12,22,6
2015,12,31,6
2015,9,21,5
2015,9,13,5
2016,1,31,5
2015,10,5,5
2015,12,30,5
2015,12,20,5
2016,1,15,5
2015,9,16,5
2015,9,4,5
2015,10,7,5
2016,1,7,5
2015,9,7,5
2016,1,7,5
2015,12,25,6
2016,1,16,6
2015,10,2,5
2015,9,13,5
2016,1,5,5
2015,12,24,5
2016,1,15,5
2016,1,11,5
2015,9,12,5
2015,12,20,5
2015,10,4,6
2015,12,29,5
2015,9,23,6
2016,1,7,5
2015,9,18,5
2015,12,18,5
2015,9,14,5
2015,12,25,6
2015,9,21,5
2015,10,2,5
2015,9,13,5
2015,9,9,5
2015,10,5,5
2015,9,5,5
2015,9,20,5
2015,12,17,5
2015,10,4,6
2015,9,15,6
2015,9,3,6
2015,10,14,5
2015,9,14,5
2015,9,6,5
2015,12,17,5
2015,9,24,5
2016,1,2,5
2016,1,11,5
2015,9,8,6
2015,12,19,6
2015,9,18,5
2015,12,21,5
2015,12,24,5
2015,9,17,5
2015,9,1,5
2015,10,5,5
2019,7,2,6
2017,8,2,5
2019,7,12,6
2017,7,30,6
2019,11,22,6
2017,7,7,6
2019,11,3,7
2019,11,9,7
2019,7,13,7
2017,7,3,5
2019,7,12,6
2017,7,15,5
2017,8,18,6
2019,11,13,6
2017,8,6,6
2019,11,28,7
2017,7,19,5
2017,7,3,5
2017,7,16,5
2017,7,29,5
2019,7,2,6
2017,7,6,5
2017,12,16,6
2017,7,29,5
2019,11,11,6
2019,11,18,7
2017,12,7,6
2017,12,8,5
2017,12,21,6
2017,7,29,5
2017,7,2,5
2017,7,1,6
2017,12,30,6
2019,11,18,7
2017,12,16,6
2017,12,18,6
2017,12,14,5
2017,12,29,5
2017,12,3,6
2017,7,5,5
2017,12,31,5
2017,12,30,6
2017,12,17,5
2017,12,18,6
2017,12,29,5
2019,11,22,6
2017,7,19,5
2017,7,9,5
2017,12,14,5
2017,7,7,6
2017,7,1,6
2017,12,19,5
2017,7,9,5
2017,12,27,6
2019,11,14,7
2019,11,21,7
2017,7,1,6
2019,11,28,7
2017,7,8,5
2017,7,21,6
2017,7,2,5
2017,7,16,5
2019,11,5,6
2017,8,3,6
2017,8,3,6
2017,7,6,5
2017,7,30,6
2017,7,15,5
2017,7,24,6
2017,7,21,6
2017,12,9,6
2017,7,20,5
2017,7,8,5
2019,11,26,7
2019,11,6,7
2017,7,4,6
2017,7,12,5
2017,7,14,6
2017,7,17,6
2017,7,20,5
2017,7,25,5
2017,7,25,5
2017,8,2,5
2017,12,13,6
2017,12,15,5
2017,12,26,5
2019,7,12,6
2015,1,2,5
2015,1,3,5
2015,1,4,6
2015,1,5,5
2015,1,6,5
2014,11,12,5
2014,11,12,5
2014,11,13,6
2014,11,13,6
2014,11,14,5
2014,11,14,5
2014,11,15,5
2014,11,16,5
2014,11,17,5
2014,11,17,5
2014,11,18,6
2014,11,30,5
2014,11,30,5
2014,12,1,6
2014,12,3,5
2014,12,3,5
2014,12,3,5
2014,12,4,5
2014,12,4,5
2014,12,4,5
2014,12,5,6
2014,12,7,5
2014,12,9,5
2014,12,9,5
2014,12,9,5
2014,12,9,5
2014,12,9,5
2014,12,12,5
2014,12,14,6
2014,12,16,5
2014,12,19,5
2014,12,19,5
2014,12,24,5
2014,12,27,5
2014,12,27,5
2014,12,28,5
2014,12,28,5
2014,12,29,5
2014,12,31,6
2015,1,1,5
2015,1,1,5
2015,1,1,5
2015,1,2,5
2015,1,7,5
2015,1,8,6
2015,1,9,5
2015,1,10,5
2015,1,10,5
2015,1,10,5
2015,1,14,5
2015,1,16,6
2015,1,16,6
2015,1,18,5
2015,1,19,5
2015,1,21,5
2015,1,22,5
2015,1,22,5
2015,1,23,5
2015,1,25,6
2015,1,31,5
2015,2,1,5
2015,2,1,5
2015,2,1,5
2015,2,2,6
2015,2,2,6
2015,2,4,5
2015,2,6,5
2015,2,8,5
2015,2,8,5
2015,2,9,5
2015,2,10,5
2015,2,10,5
2015,2,11,6
2015,2,12,5
2015,2,13,5
2015,2,15,6
2015,2,15,6
2015,2,16,5
2015,2,16,5
2015,2,16,5
2015,2,17,5
2015,2,18,6
2015,2,20,5
2015,2,20,5
2015,2,20,5
2015,2,21,6
2015,2,22,5
2015,2,22,5
2015,2,23,5
2015,2,23,5
2015,2,24,6
2015,2,26,5
2015,2,27,5
2015,2,28,6
2015,3,1,5
2015,3,2,5
2015,3,2,5
2015,3,3,5
2015,3,4,5
2015,3,5,5
2015,3,5,5
2015,3,5,5
2015,3,6,6
2015,3,6,6
2015,3,7,5
2015,3,7,5
2015,3,8,5
2015,3,12,5
2018,7,1,5
2018,7,1,5
2018,7,1,5
2018,7,4,5
2018,7,4,5
2018,7,4,5
2018,7,5,6
2018,7,5,6
2018,7,9,5
2018,7,9,5
2018,7,9,5
2018,7,11,5
2018,7,11,5
2018,7,11,5
2018,7,11,5
2018,7,12,6
2018,7,12,6
2018,7,14,5
2018,7,15,6
2018,7,15,6
2018,7,16,5
2018,7,16,5
2018,7,16,5
2018,7,17,6
2018,7,17,6
2018,7,18,5
2018,7,20,6
2018,7,20,6
2018,7,20,6
2018,7,21,5
2018,7,23,5
2018,7,28,5
2018,7,28,5
2018,7,29,6
2018,7,30,5
2018,7,30,5
2018,7,31,5
2018,8,1,6
2018,8,5,5
2018,8,5,5
2018,8,6,6
2018,8,8,6
2018,8,10,5
2018,8,11,6
2018,8,11,6
2018,8,13,6
2018,8,14,5
2018,8,14,5
2018,8,14,5
2018,8,15,6
2018,8,18,6
2018,8,19,5
2018,8,20,6
2018,8,21,5
2018,8,23,5
2018,8,24,5
2018,8,26,5
2018,8,26,5
2018,8,27,6
2018,8,27,6
2018,8,28,5
2018,8,29,6
2018,8,30,5
2018,9,1,6
2018,9,3,6
2018,9,3,6
2018,9,4,5
2018,9,4,5
2018,9,5,6
2018,9,5,6
2018,9,5,6
2018,9,6,5
2018,9,10,6
2018,9,12,6
2018,9,14,5
2018,9,15,6
2018,9,16,5
2018,9,16,5
2018,9,19,6
2018,9,20,5
2018,9,20,5
2018,9,21,6
2018,9,22,5
2018,9,23,5
2018,9,23,5
2018,9,24,6
2018,9,28,6
2018,9,30,5
2018,9,30,5
2018,9,30,5
2018,10,1,6
2018,10,1,6
2018,10,4,5
2018,10,4,5
2018,10,6,5
2018,10,10,6
2018,10,10,6
2018,10,13,5
2018,10,15,5
2018,10,17,5
2018,10,17,5
2018,10,19,5
2018,10,20,5
2018,10,20,5
2018,10,23,6
2018,10,25,6
2018,10,25,6
2018,10,27,6
2018,10,27,6
2018,10,28,5
2018,10,30,5
2018,10,31,5
2018,11,3,6
2018,11,4,5
2018,11,5,6
2018,11,5,6
2018,11,6,5
2018,11,6,5
2018,11,6,5
2018,11,7,6
2018,11,8,5
2018,11,8,5
2018,11,11,6
2018,11,12,5
2018,11,14,5
2018,11,15,6
2018,11,16,5
2018,11,17,5
2018,11,18,6
2018,11,18,6
2018,11,20,6
2018,11,22,6
2018,11,23,5
2018,11,23,5
2018,11,26,6
2018,11,29,5
2018,11,29,5
2018,12,1,6
2018,12,3,6
2018,12,3,6
2018,12,5,6
2018,12,5,6
2018,12,6,5
2018,12,6,5
2018,12,9,6
2018,12,11,5
2018,12,13,5
2018,12,14,6
2018,12,14,6
2018,12,16,6
2018,12,17,5
2018,12,19,5
2018,12,19,5
2018,12,21,5
2018,12,24,5
2020,8,3,6
2020,8,4,7
2020,8,5,7
2020,8,5,7
2020,8,6,6
2020,8,6,6
2020,8,7,7
2020,8,10,7
2020,8,14,7
2020,8,14,7
2020,8,14,7
2020,8,14,7
2020,8,16,7
2020,8,17,7
2020,8,17,7
2020,8,17,7
2020,8,19,7
2020,8,22,7
2020,8,22,7
2020,8,23,7
2020,8,23,7
2020,8,25,6
2020,8,25,6
2020,8,27,7
2020,8,28,6
2020,8,29,7
2020,8,29,7
2020,8,30,7
2020,9,1,7
2020,9,3,6
2020,9,4,7
2020,9,5,7
2020,9,5,7
2020,9,6,6
2020,9,6,6
2020,9,7,7
2020,9,7,7
2020,9,8,7
2020,9,8,7
2020,9,9,6
2020,9,9,6
2020,9,10,7
2020,9,10,7
2020,9,12,6
2020,9,13,7
2020,9,14,6
2020,9,14,6
2020,9,15,7
2020,9,15,7
2020,9,16,7
2020,9,18,7
2020,9,18,7
2020,9,22,7
2020,9,22,7
2020,9,24,7
2020,9,24,7
2020,9,24,7
2020,9,27,7
2020,9,29,6
2020,10,1,6
2020,10,1,6
2020,10,1,6
2020,10,2,7
2020,10,7,6
2015,12,28,6
2016,1,24,5
2016,1,15,5
2015,12,30,5
2015,12,17,5
2015,12,20,5
2015,12,29,5
2015,12,16,6
2016,1,13,6
2015,12,25,6
2015,12,28,6
2015,12,22,6
2015,12,31,6
2015,9,21,5
2015,9,13,5
2016,1,31,5
2015,10,5,5
2015,12,30,5
2015,12,20,5
2016,1,15,5
2015,9,16,5
2015,9,4,5
2015,10,7,5
2016,1,7,5
2015,9,7,5
2016,1,7,5
2015,12,25,6
2016,1,16,6
2015,10,2,5
2015,9,13,5
2016,1,5,5
2015,12,24,5
2016,1,15,5
2016,1,11,5
2015,9,12,5
2015,12,20,5
2015,10,4,6
2015,12,29,5
2015,9,23,6
2016,1,7,5
2015,9,18,5
2015,12,18,5
2015,9,14,5
2015,12,25,6
2015,9,21,5
2015,10,2,5
2015,9,13,5
2015,9,9,5
2015,10,5,5
2015,9,5,5
2015,9,20,5
2015,12,17,5
2015,10,4,6
2015,9,15,6
2015,9,3,6
2015,10,14,5
2015,9,14,5
2015,9,6,5
2015,12,17,5
2015,9,24,5
2016,1,2,5
2016,1,11,5
2015,9,8,6
2015,12,19,6
2015,9,18,5
2015,12,21,5
2015,12,24,5
2015,9,17,5
2015,9,1,5
2015,10,5,5
2019,7,2,6
2017,8,2,5
2019,7,12,6
2017,7,30,6
2019,11,22,6
2017,7,7,6
2019,11,3,7
2019,11,9,7
2019,7,13,7
2017,7,3,5
2019,7,12,6
2017,7,15,5
2017,8,18,6
2019,11,13,6
2017,8,6,6
2019,11,28,7
2017,7,19,5
2017,7,3,5
2017,7,16,5
2017,7,29,5
2019,7,2,6
2017,7,6,5
2017,12,16,6
2017,7,29,5
2019,11,11,6
2019,11,18,7
2017,12,7,6
2017,12,8,5
2017,12,21,6
2017,7,29,5
2017,7,2,5
2017,7,1,6
2017,12,30,6
2019,11,18,7
2017,12,16,6
2017,12,18,6
2017,12,14,5
2017,12,29,5
2017,12,3,6
2017,7,5,5
2017,12,31,5
2017,12,30,6
2017,12,17,5
2017,12,18,6
2017,12,29,5
2019,11,22,6
2017,7,19,5
2017,7,9,5
2017,12,14,5
2017,7,7,6
2017,7,1,6
2017,12,19,5
2017,7,9,5
2017,12,27,6
2019,11,14,7
2019,11,21,7
2017,7,1,6
2019,11,28,7
2017,7,8,5
2017,7,21,6
2017,7,2,5
2017,7,16,5
2019,11,5,6
2017,8,3,6
2017,8,3,6
2017,7,6,5
2017,7,30,6
2017,7,15,5
2017,7,24,6
2017,7,21,6
2017,12,9,6
2017,7,20,5
2017,7,8,5
2019,11,26,7
2019,11,6,7
2017,7,4,6
2017,7,12,5
2017,7,14,6
2017,7,17,6
2017,7,20,5
2017,7,25,5
2017,7,25,5
2017,8,2,5
2017,12,13,6
2017,12,15,5
2017,12,26,5
2019,7,12,6
2014,11,12,5
2014,11,12,5
2014,11,13,6
2014,11,13,6
2014,11,14,5
2014,11,14,5
2014,11,15,5
2014,11,16,5
2014,11,17,5
2014,11,17,5
2014,11,18,6
2014,11,30,5
2014,11,30,5
2014,12,1,6
2014,12,3,5
2014,12,3,5
2014,12,3,5
2014,12,4,5
2014,12,4,5
2014,12,4,5
2014,12,5,6
2014,12,7,5
2014,12,9,5
2014,12,9,5
2014,12,9,5
2014,12,9,5
2014,12,9,5
2014,12,12,5
2014,12,14,6
2014,12,16,5
2014,12,19,5
2014,12,19,5
2014,12,24,5
2014,12,27,5
2014,12,27,5
2014,12,28,5
2014,12,28,5
2014,12,29,5
2014,12,31,6
2015,1,1,5
2015,1,1,5
2015,1,1,5
2015,1,2,5
2015,1,7,5
2015,1,8,6
2015,1,9,5
2015,1,10,5
2015,1,10,5
2015,1,10,5
2015,1,14,5
2015,1,16,6
2015,1,16,6
2015,1,18,5
2015,1,19,5
2015,1,21,5
2015,1,22,5
2015,1,22,5
2015,1,23,5
2015,1,25,6
2015,1,31,5
2015,2,1,5
2015,2,1,5
2015,2,1,5
2015,2,2,6
2015,2,2,6
2015,2,4,5
2015,2,6,5
2015,2,8,5
2015,2,8,5
2015,2,9,5
2015,2,10,5
2015,2,10,5
2015,2,11,6
2015,2,12,5
2015,2,13,5
2015,2,15,6
2015,2,15,6
2015,2,16,5
2015,2,16,5
2015,2,16,5
2015,2,17,5
2015,2,18,6
2015,2,20,5
2015,2,20,5
2015,2,20,5
2015,2,21,6
2015,2,22,5
2015,2,22,5
2015,2,23,5
2015,2,23,5
2015,2,24,6
2015,2,26,5
2015,2,27,5
2015,2,28,6
2015,3,1,5
2015,3,2,5
2015,3,2,5
2015,3,3,5
2015,3,4,5
2015,3,5,5
2015,3,5,5
2015,3,5,5
2015,3,6,6
2015,3,6,6
2015,3,7,5
2015,3,7,5
2015,3,8,5
2015,3,12,5
2018,7,1,5
2018,7,1,5
2018,7,1,5
2018,7,4,5
2018,7,4,5
2018,7,4,5
2018,7,5,6
2018,7,5,6
2018,7,9,5
2018,7,9,5
2018,7,9,5
2018,7,11,5
2018,7,11,5
2018,7,11,5
2018,7,11,5
2018,7,12,6
2018,7,12,6
2018,7,14,5
2018,7,15,6
2018,7,15,6
2018,7,16,5
2018,7,16,5
2018,7,16,5
2018,7,17,6
2018,7,17,6
2018,7,18,5
2018,7,20,6
2018,7,20,6
2018,7,20,6
2018,7,21,5
2018,7,23,5
2018,7,28,5
2018,7,28,5
2018,7,29,6
2018,7,30,5
2018,7,30,5
2018,7,31,5
2018,8,1,6
2018,8,5,5
2018,8,5,5
2018,8,6,6
2018,8,8,6
2018,8,10,5
2018,8,11,6
2018,8,11,6
2018,8,13,6
2018,8,14,5
2018,8,14,5
2018,8,14,5
2018,8,15,6
2018,8,18,6
2018,8,19,5
2018,8,20,6
2018,8,21,5
2018,8,23,5
2018,8,24,5
2018,8,26,5
2018,8,26,5
2018,8,27,6
2018,8,27,6
2018,8,28,5
2018,8,29,6
2018,8,30,5
2018,9,1,6
2018,9,3,6
2018,9,3,6
2018,9,4,5
2018,9,4,5
2018,9,5,6
2018,9,5,6
2018,9,5,6
2018,9,6,5
2018,9,10,6
2018,9,12,6
2018,9,14,5
2018,9,15,6
2018,9,16,5
2018,9,16,5
2018,9,19,6
2018,9,20,5
2018,9,20,5
2018,9,21,6
2018,9,22,5
2018,9,23,5
2018,9,23,5
2018,9,24,6
2018,9,28,6
2018,9,30,5
2018,9,30,5
2018,9,30,5
2018,10,1,6
2018,10,1,6
2018,10,4,5
2018,10,4,5
2018,10,6,5
2018,10,10,6
2018,10,10,6
2018,10,13,5
2018,10,15,5
2018,10,17,5
2018,10,17,5
2018,10,19,5
2018,10,20,5
2018,10,20,5
2018,10,23,6
2018,10,25,6
2018,10,25,6
2018,10,27,6
2018,10,27,6
2018,10,28,5
2018,10,30,5
2018,10,31,5
2018,11,3,6
2018,11,4,5
2018,11,5,6
2018,11,5,6
2018,11,6,5
2018,11,6,5
2018,11,6,5
2018,11,7,6
2018,11,8,5
2018,11,8,5
2018,11,11,6
2018,11,12,5
2018,11,14,5
2018,11,15,6
2018,11,16,5
2018,11,17,5
2018,11,18,6
2018,11,18,6
2018,11,20,6
2018,11,22,6
2018,11,23,5
2018,11,23,5
2018,11,26,6
2018,11,29,5
2018,11,29,5
2018,12,1,6
2018,12,3,6
2018,12,3,6
2018,12,5,6
2018,12,5,6
2018,12,6,5
2018,12,6,5
2018,12,9,6
2018,12,11,5
2018,12,13,5
2018,12,14,6
2018,12,14,6
2018,12,16,6
2018,12,17,5
2018,12,19,5
2018,12,19,5
2018,12,21,5
2018,12,24,5
2020,8,3,6
2020,8,4,7
2020,8,5,7
2020,8,5,7
2020,8,6,6
2020,8,6,6
2020,8,7,7
2020,8,10,7
2020,8,14,7
2020,8,14,7
2020,8,14,7
2020,8,14,7
2020,8,16,7
2020,8,17,7
2020,8,17,7
2020,8,17,7
2020,8,19,7
2020,8,22,7
2020,8,22,7
2020,8,23,7
2020,8,23,7
2020,8,25,6
2020,8,25,6
2020,8,27,7
2020,8,28,6
2020,8,29,7
2020,8,29,7
2020,8,30,7
2020,9,1,7
2020,9,3,6
2020,9,4,7
2020,9,5,7
2020,9,5,7
2020,9,6,6
2020,9,6,6
2020,9,7,7
2020,9,7,7
2020,9,8,7
2020,9,8,7
2020,9,9,6
2020,9,9,6
2020,9,10,7
2020,9,10,7
2020,9,12,6
2020,9,13,7
2020,9,14,6
2020,9,14,6
2020,9,15,7
2020,9,15,7
2020,9,16,7
2020,9,18,7
2020,9,18,7
2020,9,22,7
2020,9,22,7
2020,9,24,7
2020,9,24,7
2020,9,24,7
2020,9,27,7
2020,9,29,6
2020,10,1,6
2020,10,1,6
2020,10,1,6
2020,10,2,7
2020,10,7,6
2015,12,28,6
2016,1,24,5
2016,1,15,5
2015,12,30,5
2015,12,17,5
2015,12,20,5
2015,12,29,5
2015,12,16,6
2016,1,13,6
2015,12,25,6
2015,12,28,6
2015,12,22,6
2015,12,31,6
2015,9,21,5
2015,9,13,5
2016,1,31,5
2015,10,5,5
2015,12,30,5
2015,12,20,5
2016,1,15,5
2015,9,16,5
2015,9,4,5
2015,10,7,5
2016,1,7,5
2015,9,7,5
2016,1,7,5
2015,12,25,6
2016,1,16,6
2015,10,2,5
2015,9,13,5
2016,1,5,5
2015,12,24,5
2016,1,15,5
2016,1,11,5
2015,9,12,5
2015,12,20,5
2015,10,4,6
2015,12,29,5
2015,9,23,6
2016,1,7,5
2015,9,18,5
2015,12,18,5
2015,9,14,5
2015,12,25,6
2015,9,21,5
2015,10,2,5
2015,9,13,5
2015,9,9,5
2015,10,5,5
2015,9,5,5
2015,9,20,5
2015,12,17,5
2015,10,4,6
2015,9,15,6
2015,9,3,6
2015,10,14,5
2015,9,14,5
2015,9,6,5
2015,12,17,5
2015,9,24,5
2016,1,2,5
2016,1,11,5
2015,9,8,6
2015,12,19,6
2015,9,18,5
2015,12,21,5
2015,12,24,5
2015,9,17,5
2015,9,1,5
2015,10,5,5
2019,7,2,6
2017,8,2,5
2019,7,12,6
2017,7,30,6
2019,11,22,6
2017,7,7,6
2019,11,3,7
2019,11,9,7
2019,7,13,7
2017,7,3,5
2019,7,12,6
2017,7,15,5
2017,8,18,6
2019,11,13,6
2017,8,6,6
2019,11,28,7
2017,7,19,5
2017,7,3,5
2017,7,16,5
2017,7,29,5
2019,7,2,6
2017,7,6,5
2017,12,16,6
2017,7,29,5
2019,11,11,6
2019,11,18,7
2017,12,7,6
2017,12,8,5
2017,12,21,6
2017,7,29,5
2017,7,2,5
2017,7,1,6
2017,12,30,6
2019,11,18,7
2017,12,16,6
2017,12,18,6
2017,12,14,5
2017,12,29,5
2017,12,3,6
2017,7,5,5
2017,12,31,5
2017,12,30,6
2017,12,17,5
2017,12,18,6
2017,12,29,5
2019,11,22,6
2017,7,19,5
2017,7,9,5
2017,12,14,5
2017,7,7,6
2017,7,1,6
2017,12,19,5
2017,7,9,5
2017,12,27,6
2019,11,14,7
2019,11,21,7
2017,7,1,6
2019,11,28,7
2017,7,8,5
2017,7,21,6
2017,7,2,5
2017,7,16,5
2019,11,5,6
2017,8,3,6
2017,8,3,6
2017,7,6,5
2017,7,30,6
2017,7,15,5
2017,7,24,6
2017,7,21,6
2017,12,9,6
2017,7,20,5
2017,7,8,5
2019,11,26,7
2019,11,6,7
2017,7,4,6
2017,7,12,5
2017,7,14,6
2017,7,17,6
2017,7,20,5
2017,7,25,5
2017,7,25,5
2017,8,2,5
2017,12,13,6
2017,12,15,5
2017,12,26,5
2019,7,12,6
2015,1,1,5
2014,11,12,5
2014,11,12,5
2014,11,13,6
2014,11,13,6
2014,11,14,5
2014,11,14,5
2014,11,15,5
2014,11,16,5
2014,11,17,5
2014,11,17,5
2014,11,18,6
2014,11,30,5
2014,11,30,5
2014,12,1,6
2014,12,3,5
2014,12,3,5
2014,12,3,5
2014,12,4,5
2014,12,4,5
2014,12,4,5
2014,12,5,6
2014,12,7,5
2014,12,9,5
2014,12,9,5
2014,12,9,5
2014,12,9,5
2014,12,9,5
2014,12,12,5
2014,12,14,6
2014,12,16,5
2014,12,19,5
2014,12,19,5
2014,12,24,5
2014,12,27,5
2014,12,27,5
2014,12,28,5
2014,12,28,5
2014,12,29,5
2014,12,31,6
2015,1,1,5
2015,1,1,5
2015,1,1,5
2015,1,2,5
2015,1,7,5
2015,1,8,6
2015,1,9,5
2015,1,10,5
2015,1,10,5
2015,1,10,5
2015,1,14,5
2015,1,16,6
2015,1,16,6
2015,1,18,5
2015,1,19,5
2015,1,21,5
2015,1,22,5
2015,1,22,5
2015,1,23,5
2015,1,25,6
2015,1,31,5
2015,2,1,5
2015,2,1,5
2015,2,1,5
2015,2,2,6
2015,2,2,6
2015,2,4,5
2015,2,6,5
2015,2,8,5
2015,2,8,5
2015,2,9,5
2015,2,10,5
2015,2,10,5
2015,2,11,6
2015,2,12,5
2015,2,13,5
2015,2,15,6
2015,2,15,6
2015,2,16,5
2015,2,16,5
2015,2,16,5
2015,2,17,5
2015,2,18,6
2015,2,20,5
2015,2,20,5
2015,2,20,5
2015,2,21,6
2015,2,22,5
2015,2,22,5
2015,2,23,5
2015,2,23,5
2015,2,24,6
2015,2,26,5
2015,2,27,5
2015,2,28,6
2015,3,1,5
2015,3,2,5
2015,3,2,5
2015,3,3,5
2015,3,4,5
2015,3,5,5
2015,3,5,5
2015,3,5,5
2015,3,6,6
2015,3,6,6
2015,3,7,5
2015,3,7,5
2015,3,8,5
2015,3,12,5
2018,7,1,5
2018,7,1,5
2018,7,1,5
2018,7,4,5
2018,7,4,5
2018,7,4,5
2018,7,5,6
2018,7,5,6
2018,7,9,5
2018,7,9,5
2018,7,9,5
2018,7,11,5
2018,7,11,5
2018,7,11,5
2018,7,11,5
2018,7,12,6
2018,7,12,6
2018,7,14,5
2018,7,15,6
2018,7,15,6
2018,7,16,5
2018,7,16,5
2018,7,16,5
2018,7,17,6
